"Barangay I (Poblacion), Alaminos"
"Barangay II (Poblacion), Alaminos"
"Barangay III (Poblacion), Alaminos"
"Barangay IV (Poblacion), Alaminos"
"Del Carmen, Alaminos"
"Palma, Alaminos"
"San Agustin, Alaminos"
"San Andres, Alaminos"
"San Benito, Alaminos"
"San Gregorio, Alaminos"
"San Ildefonso, Alaminos"
"San Juan, Alaminos"
"San Miguel, Alaminos"
"San Roque, Alaminos"
"Santa Rosa, Alaminos"
"Bitin, Bay"
"Calo, Bay"
"Dila, Bay"
"Maitim, Bay"
"Masaya, Bay"
"Paciano Rizal, Bay"
"Puypuy, Bay"
"San Agustin (Poblacion), Bay"
"San Antonio, Bay"
"San Isidro, Bay"
"San Nicolas (Poblacion), Bay"
"Santa Cruz, Bay"
"Santo Domingo, Bay"
"Tagumpay, Bay"
"Tranca, Bay"
"Biñan (Poblacion), Biñan"
"Bungahan, Biñan"
"Canlalay, Biñan"
"Casile, Biñan"
"De La Paz, Biñan"
"Ganado, Biñan"
"Langkiwa, Biñan"
"Loma, Biñan"
"Malaban, Biñan"
"Malamig, Biñan"
"Mampalasan, Biñan"
"Platero, Biñan"
"Poblacion, Biñan"
"San Antonio, Biñan"
"San Francisco (Halang), Biñan"
"San Jose, Biñan"
"San Vicente, Biñan"
"Santo Domingo, Biñan"
"Santo Niño, Biñan"
"Santo Tomas (Calabuso), Biñan"
"Soro-soro, Biñan"
"Timbao, Biñan"
"Tubigan, Biñan"
"Zapote, Biñan"
"Baclaran, Cabuyao"
"Banay-Banay, Cabuyao"
"Banlic, Cabuyao"
"Barangay Dos (Poblacion), Cabuyao"
"Barangay Tres (Poblacion), Cabuyao"
"Barangay Uno (Poblacion), Cabuyao"
"Bigaa, Cabuyao"
"Butong, Cabuyao"
"Casile, Cabuyao"
"Diezmo, Cabuyao"
"Gulod, Cabuyao"
"Mamatid, Cabuyao"
"Marinig, Cabuyao"
"Niugan, Cabuyao"
"Pittland, Cabuyao"
"Pulo, Cabuyao"
"Sala, Cabuyao"
"San Isidro (Putol), Cabuyao"
